dataset,subset,transform,orientation,channel,total_samples,group,kstest_stat_cutoff_0.05,kstest_stat_best,pass,failure_category,failure_type,beat_all_priors,which_ones,github_plot
agriVision,full,wavelet,diagonal,red,29491200,10,0.00008,0.00583,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_10.jpg
agriVision,full,wavelet,horizVert,blue,900,2,0.01430,0.01395,TRUE,actually_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_2.jpg
agriVision,full,wavelet,horizVert,blue,3600,3,0.00715,0.01322,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_3.jpg
agriVision,full,wavelet,horizVert,blue,14400,4,0.00358,0.00802,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_4.jpg
agriVision,full,wavelet,horizVert,blue,57600,5,0.00179,0.00644,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_5.jpg
agriVision,full,wavelet,horizVert,blue,230400,6,0.00089,0.00439,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_6.jpg
agriVision,full,wavelet,horizVert,blue,921600,7,0.00045,0.00372,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_7.jpg
agriVision,full,wavelet,horizVert,blue,3686400,8,0.00022,0.00263,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_8.jpg
agriVision,full,wavelet,horizVert,blue,14745600,9,0.00011,0.00227,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_9.jpg
agriVision,full,wavelet,horizVert,blue,58982400,10,0.00006,0.00456,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_10.jpg
agriVision,full,wavelet,horizVert,gray,900,2,0.01430,0.01233,TRUE,actually_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_2.jpg
agriVision,full,wavelet,horizVert,gray,3600,3,0.00715,0.01106,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_3.jpg
agriVision,full,wavelet,horizVert,gray,14400,4,0.00358,0.00776,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_4.jpg
agriVision,full,wavelet,horizVert,gray,57600,5,0.00179,0.00704,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_5.jpg
agriVision,full,wavelet,horizVert,gray,230400,6,0.00089,0.00511,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_6.jpg
agriVision,full,wavelet,horizVert,gray,921600,7,0.00045,0.00321,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_7.jpg
agriVision,full,wavelet,horizVert,gray,3686400,8,0.00022,0.00219,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_8.jpg
agriVision,full,wavelet,horizVert,gray,14745600,9,0.00011,0.00379,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_9.jpg
agriVision,full,wavelet,horizVert,gray,58982400,10,0.00006,0.00494,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_10.jpg
