,total_samples,dataset,subset,transform,orientation,channel,group,kstest_stat_best,kstest_stat_cutoff_0.05,beat_all_priors,failure_category,failure_type,which_ones,github_plot
71,72685058.0,syntheticMRI2D,axial,wavelet,vertical,,8,0.0053983481420364,0.000159295127349,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/axial/wavelet/vertical/plots/compare_cdf_pdf_layer_8.jpg
72,295085108.0,syntheticMRI2D,axial,wavelet,vertical,,9,0.0024792677116595,7.905959132202486e-05,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/axial/wavelet/vertical/plots/compare_cdf_pdf_layer_9.jpg
73,0.0,syntheticMRI2D,sagittal,wavelet,horizontal,,2,,,0,trivial_failure,low samples,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/sagittal/wavelet/horizontal/plots/compare_cdf_pdf_layer_2.jpg
74,3396.0,syntheticMRI2D,sagittal,wavelet,horizontal,,3,0.1932462844228197,0.0232552449022127,0,trivial_failure,multimodal,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/sagittal/wavelet/horizontal/plots/compare_cdf_pdf_layer_3.jpg
75,98808.0,syntheticMRI2D,sagittal,wavelet,horizontal,,4,0.0052337623669724,0.004318821895478,1,interesting_failure,other,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/sagittal/wavelet/horizontal/plots/compare_cdf_pdf_layer_4.jpg
76,524004.0,syntheticMRI2D,sagittal,wavelet,horizontal,,5,0.0033432752560523,0.0018758163145003,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/sagittal/wavelet/horizontal/plots/compare_cdf_pdf_layer_5.jpg
77,2418270.0,syntheticMRI2D,sagittal,wavelet,horizontal,,6,0.0051145446070142,0.0008732621369519,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/sagittal/wavelet/horizontal/plots/compare_cdf_pdf_layer_6.jpg
78,10234344.0,syntheticMRI2D,sagittal,wavelet,horizontal,,7,0.0054813460571442,0.0004245067937033,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/sagittal/wavelet/horizontal/plots/compare_cdf_pdf_layer_7.jpg
79,42110360.0,syntheticMRI2D,sagittal,wavelet,horizontal,,8,0.006298488699404,0.0002092804319039,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/sagittal/wavelet/horizontal/plots/compare_cdf_pdf_layer_8.jpg
80,170911996.0,syntheticMRI2D,sagittal,wavelet,horizontal,,9,0.0054001294543051,0.0001038821582746,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/sagittal/wavelet/horizontal/plots/compare_cdf_pdf_layer_9.jpg
81,0.0,syntheticMRI2D,sagittal,wavelet,diagonal,,2,,,0,trivial_failure,low samples,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI2D/sagittal/wavelet/diagonal/plots/compare_cdf_pdf_layer_2.jpg
